testCaseId,year,month,day,expectedOutput
R200,2101,13,30,年份取值范围非法 月份取值范围非法 
R201,2101,13,31,年份取值范围非法 月份取值范围非法 
R202,2101,13,0,年份取值范围非法 月份取值范围非法 日期取值范围非法 
R203,2101,13,32,年份取值范围非法 月份取值范围非法 日期取值范围非法 
R204,2101,-1,15,年份取值范围非法 月份取值范围非法 
R205,2101,-1,28,年份取值范围非法 月份取值范围非法 
R206,2101,-1,29,年份取值范围非法 月份取值范围非法 
R207,2101,-1,30,年份取值范围非法 月份取值范围非法 
R208,2101,-1,31,年份取值范围非法 月份取值范围非法 
R209,2101,-1,0,年份取值范围非法 月份取值范围非法 日期取值范围非法 
R210,2101,-1,32,年份取值范围非法 月份取值范围非法 日期取值范围非法 
