testCaseId,year,month,day,expectedOutput
R89,2000,11,0,日期取值范围非法 
R90,2000,11,1,2000/11/2
R91,2000,11,15,2000/11/16
R92,2000,11,28,2000/11/29
R93,2000,11,29,2000/11/30
R94,2000,11,30,2000/12/1
R95,2000,11,31,日期超出该月份对应的范围 
R96,2000,11,32,日期取值范围非法 
R97,2000,12,0,日期取值范围非法 
R98,2000,12,1,2000/12/2
R99,2000,12,15,2000/12/16
R100,2000,12,28,2000/12/29
R101,2000,12,29,2000/12/30
R102,2000,12,30,2000/12/31
R103,2000,12,31,2001/1/1
R104,2000,12,32,日期取值范围非法 
R105,2000,13,0,月份取值范围非法 日期取值范围非法 
R106,2000,13,1,月份取值范围非法 
R107,2000,13,15,月份取值范围非法 
R108,2000,13,28,月份取值范围非法 
R109,2000,13,29,月份取值范围非法 
R110,2000,13,30,月份取值范围非法 
R111,2000,13,31,月份取值范围非法 
R112,2000,13,32,月份取值范围非法 日期取值范围非法 
R113,2001,0,0,月份取值范围非法 日期取值范围非法 
R114,2001,0,1,月份取值范围非法 
R115,2001,0,15,月份取值范围非法 
R116,2001,0,28,月份取值范围非法 
R117,2001,0,29,月份取值范围非法 
R118,2001,0,30,月份取值范围非法 
R119,2001,0,31,月份取值范围非法 
R120,2001,0,32,月份取值范围非法 日期取值范围非法 
R121,2001,1,0,日期取值范围非法 
R122,2001,1,1,2001/1/2
R123,2001,1,15,2001/1/16
R124,2001,1,28,2001/1/29
R125,2001,1,29,2001/1/30
R126,2001,1,30,2001/1/31
R127,2001,1,31,2001/2/1
R128,2001,1,32,日期取值范围非法 
R129,2001,2,0,日期取值范围非法 
R130,2001,2,1,2001/2/2
R131,2001,2,15,2001/2/16
R132,2001,2,28,2001/3/1
R133,2001,2,29,日期超出该月份对应的范围 
R134,2001,2,30,日期超出该月份对应的范围 
R135,2001,2,31,日期超出该月份对应的范围 
R136,2001,2,32,日期取值范围非法 
R137,2001,6,0,日期取值范围非法 
R138,2001,6,1,2001/6/2
R139,2001,6,15,2001/6/16
R140,2001,6,28,2001/6/29
R141,2001,6,29,2001/6/30
R142,2001,6,30,2001/7/1
R143,2001,6,31,日期超出该月份对应的范围 
R144,2001,6,32,日期取值范围非法 
R145,2001,11,0,日期取值范围非法 
R146,2001,11,1,2001/11/2
R147,2001,11,15,2001/11/16
R148,2001,11,28,2001/11/29
R149,2001,11,29,2001/11/30
R150,2001,11,30,2001/12/1
R151,2001,11,31,日期超出该月份对应的范围 
R152,2001,11,32,日期取值范围非法 
R153,2001,12,0,日期取值范围非法 
R154,2001,12,1,2001/12/2
R155,2001,12,15,2001/12/16
R156,2001,12,28,2001/12/29
R157,2001,12,29,2001/12/30
R158,2001,12,30,2001/12/31
R159,2001,12,31,2002/1/1
R160,2001,12,32,日期取值范围非法 
R161,2001,13,0,月份取值范围非法 日期取值范围非法 
R162,2001,13,1,月份取值范围非法 
R163,2001,13,15,月份取值范围非法 
R164,2001,13,28,月份取值范围非法 
R165,2001,13,29,月份取值范围非法 
R166,2001,13,30,月份取值范围非法 
R167,2001,13,31,月份取值范围非法 
R168,2001,13,32,月份取值范围非法 日期取值范围非法 
R169,2050,0,0,月份取值范围非法 日期取值范围非法 
R170,2050,0,1,月份取值范围非法 
R171,2050,0,15,月份取值范围非法 
R172,2050,0,28,月份取值范围非法 
R173,2050,0,29,月份取值范围非法 
R174,2050,0,30,月份取值范围非法 
R175,2050,0,31,月份取值范围非法 
R176,2050,0,32,月份取值范围非法 日期取值范围非法 
R177,2050,1,0,日期取值范围非法 
R178,2050,1,1,2050/1/2
R179,2050,1,15,2050/1/16
R180,2050,1,28,2050/1/29
R181,2050,1,29,2050/1/30
R182,2050,1,30,2050/1/31
R183,2050,1,31,2050/2/1
R184,2050,1,32,日期取值范围非法 
R185,2050,2,0,日期取值范围非法 
R186,2050,2,1,2050/2/2
R187,2050,2,15,2050/2/16
R188,2050,2,28,2050/3/1
R189,2050,2,29,日期超出该月份对应的范围 
R190,2050,2,30,日期超出该月份对应的范围 
R191,2050,2,31,日期超出该月份对应的范围 
R192,2050,2,32,日期取值范围非法 
R193,2050,6,0,日期取值范围非法 
R194,2050,6,1,2050/6/2
R195,2050,6,15,2050/6/16
R196,2050,6,28,2050/6/29
R197,2050,6,29,2050/6/30
R198,2050,6,30,2050/7/1
R199,2050,6,31,日期超出该月份对应的范围 
R200,2050,6,32,日期取值范围非法 
R201,2050,11,0,日期取值范围非法 
R202,2050,11,1,2050/11/2
R203,2050,11,15,2050/11/16
R204,2050,11,28,2050/11/29
R205,2050,11,29,2050/11/30
R206,2050,11,30,2050/12/1
R207,2050,11,31,日期超出该月份对应的范围 
R208,2050,11,32,日期取值范围非法 
R209,2050,12,0,日期取值范围非法 
R210,2050,12,1,2050/12/2
R211,2050,12,15,2050/12/16
R212,2050,12,28,2050/12/29
R213,2050,12,29,2050/12/30
R214,2050,12,30,2050/12/31
R215,2050,12,31,2051/1/1
R216,2050,12,32,日期取值范围非法 
R217,2050,13,0,月份取值范围非法 日期取值范围非法 
R218,2050,13,1,月份取值范围非法 
R219,2050,13,15,月份取值范围非法 
R220,2050,13,28,月份取值范围非法 
R221,2050,13,29,月份取值范围非法 
R222,2050,13,30,月份取值范围非法 
R223,2050,13,31,月份取值范围非法 
R224,2050,13,32,月份取值范围非法 日期取值范围非法 
R225,2099,0,0,月份取值范围非法 日期取值范围非法 
R226,2099,0,1,月份取值范围非法 
R227,2099,0,15,月份取值范围非法 
R228,2099,0,28,月份取值范围非法 
R229,2099,0,29,月份取值范围非法 
R230,2099,0,30,月份取值范围非法 
R231,2099,0,31,月份取值范围非法 
R232,2099,0,32,月份取值范围非法 日期取值范围非法 
R233,2099,1,0,日期取值范围非法 
R234,2099,1,1,2099/1/2
R235,2099,1,15,2099/1/16
R236,2099,1,28,2099/1/29
R237,2099,1,29,2099/1/30
R238,2099,1,30,2099/1/31
R239,2099,1,31,2099/2/1
R240,2099,1,32,日期取值范围非法 
R241,2099,2,0,日期取值范围非法 
R242,2099,2,1,2099/2/2
R243,2099,2,15,2099/2/16
R244,2099,2,28,2099/3/1
R245,2099,2,29,日期超出该月份对应的范围 
R246,2099,2,30,日期超出该月份对应的范围 
R247,2099,2,31,日期超出该月份对应的范围 
R248,2099,2,32,日期取值范围非法 
R249,2099,6,0,日期取值范围非法 
R250,2099,6,1,2099/6/2
R251,2099,6,15,2099/6/16
R252,2099,6,28,2099/6/29
R253,2099,6,29,2099/6/30
R254,2099,6,30,2099/7/1
R255,2099,6,31,日期超出该月份对应的范围 
R256,2099,6,32,日期取值范围非法 
R257,2099,11,0,日期取值范围非法 
R258,2099,11,1,2099/11/2
R259,2099,11,15,2099/11/16
R260,2099,11,28,2099/11/29
R261,2099,11,29,2099/11/30
R262,2099,11,30,2099/12/1
R263,2099,11,31,日期超出该月份对应的范围 
R264,2099,11,32,日期取值范围非法 
R265,2099,12,0,日期取值范围非法 
R266,2099,12,1,2099/12/2
R267,2099,12,15,2099/12/16
R268,2099,12,28,2099/12/29
R269,2099,12,29,2099/12/30
R270,2099,12,30,2099/12/31
R271,2099,12,31,2100/1/1
R272,2099,12,32,日期取值范围非法 
R273,2099,13,0,月份取值范围非法 日期取值范围非法 
R274,2099,13,1,月份取值范围非法 
R275,2099,13,15,月份取值范围非法 
R276,2099,13,28,月份取值范围非法 
R277,2099,13,29,月份取值范围非法 
R278,2099,13,30,月份取值范围非法 
R279,2099,13,31,月份取值范围非法 
R280,2099,13,32,月份取值范围非法 日期取值范围非法 
R281,2100,0,0,月份取值范围非法 日期取值范围非法 
R282,2100,0,1,月份取值范围非法 
R283,2100,0,15,月份取值范围非法 
R284,2100,0,28,月份取值范围非法 
R285,2100,0,29,月份取值范围非法 
R286,2100,0,30,月份取值范围非法 
R287,2100,0,31,月份取值范围非法 
R288,2100,0,32,月份取值范围非法 日期取值范围非法 
R289,2100,1,0,日期取值范围非法 
R290,2100,1,1,2100/1/2
R291,2100,1,15,2100/1/16
R292,2100,1,28,2100/1/29
R293,2100,1,29,2100/1/30
R294,2100,1,30,2100/1/31
R295,2100,1,31,2100/2/1
R296,2100,1,32,日期取值范围非法 
R297,2100,2,0,日期取值范围非法 
R298,2100,2,1,2100/2/2
R299,2100,2,15,2100/2/16
R300,2100,2,28,2100/3/1
R301,2100,2,29,日期超出该月份对应的范围 
R302,2100,2,30,日期超出该月份对应的范围 
R303,2100,2,31,日期超出该月份对应的范围 
R304,2100,2,32,日期取值范围非法 
R305,2100,6,0,日期取值范围非法 
R306,2100,6,1,2100/6/2
R307,2100,6,15,2100/6/16
R308,2100,6,28,2100/6/29
R309,2100,6,29,2100/6/30
R310,2100,6,30,2100/7/1
R311,2100,6,31,日期超出该月份对应的范围 
R312,2100,6,32,日期取值范围非法 
R313,2100,11,0,日期取值范围非法 
R314,2100,11,1,2100/11/2
R315,2100,11,15,2100/11/16
R316,2100,11,28,2100/11/29
R317,2100,11,29,2100/11/30
R318,2100,11,30,2100/12/1
R319,2100,11,31,日期超出该月份对应的范围 
R320,2100,11,32,日期取值范围非法 
R321,2100,12,0,日期取值范围非法 
R322,2100,12,1,2100/12/2
R323,2100,12,15,2100/12/16
R324,2100,12,28,2100/12/29
R325,2100,12,29,2100/12/30
R326,2100,12,30,2100/12/31
R327,2100,12,31,2101/1/1
R328,2100,12,32,日期取值范围非法 
R329,2100,13,0,月份取值范围非法 日期取值范围非法 
R330,2100,13,1,月份取值范围非法 
R331,2100,13,15,月份取值范围非法 
R332,2100,13,28,月份取值范围非法 
R333,2100,13,29,月份取值范围非法 
R334,2100,13,30,月份取值范围非法 
R335,2100,13,31,月份取值范围非法 
R336,2100,13,32,月份取值范围非法 日期取值范围非法 
R337,2101,0,0,年份取值范围非法 月份取值范围非法 日期取值范围非法 
R338,2101,0,1,年份取值范围非法 月份取值范围非法 
R339,2101,0,15,年份取值范围非法 月份取值范围非法 
R340,2101,0,28,年份取值范围非法 月份取值范围非法 
R341,2101,0,29,年份取值范围非法 月份取值范围非法 
R342,2101,0,30,年份取值范围非法 月份取值范围非法 
R343,2101,0,31,年份取值范围非法 月份取值范围非法 
R344,2101,0,32,年份取值范围非法 月份取值范围非法 日期取值范围非法 
R345,2101,1,0,年份取值范围非法 日期取值范围非法 
R346,2101,1,1,年份取值范围非法 
R347,2101,1,15,年份取值范围非法 
R348,2101,1,28,年份取值范围非法 
R349,2101,1,29,年份取值范围非法 
R350,2101,1,30,年份取值范围非法 
R351,2101,1,31,年份取值范围非法 
R352,2101,1,32,年份取值范围非法 日期取值范围非法 
R353,2101,2,0,年份取值范围非法 日期取值范围非法 
R354,2101,2,1,年份取值范围非法 
R355,2101,2,15,年份取值范围非法 
R356,2101,2,28,年份取值范围非法 
R357,2101,2,29,年份取值范围非法 日期超出该月份对应的范围 
R358,2101,2,30,年份取值范围非法 日期超出该月份对应的范围 
R359,2101,2,31,年份取值范围非法 日期超出该月份对应的范围 
R360,2101,2,32,年份取值范围非法 日期取值范围非法 
R361,2101,6,0,年份取值范围非法 日期取值范围非法 
R362,2101,6,1,年份取值范围非法 
R363,2101,6,15,年份取值范围非法 
R364,2101,6,28,年份取值范围非法 
R365,2101,6,29,年份取值范围非法 
R366,2101,6,30,年份取值范围非法 
R367,2101,6,31,年份取值范围非法 日期超出该月份对应的范围 
R368,2101,6,32,年份取值范围非法 日期取值范围非法 
R369,2101,11,0,年份取值范围非法 日期取值范围非法 
R370,2101,11,1,年份取值范围非法 
R371,2101,11,15,年份取值范围非法 
R372,2101,11,28,年份取值范围非法 
R373,2101,11,29,年份取值范围非法 
R374,2101,11,30,年份取值范围非法 
R375,2101,11,31,年份取值范围非法 日期超出该月份对应的范围 
R376,2101,11,32,年份取值范围非法 日期取值范围非法 
R377,2101,12,0,年份取值范围非法 日期取值范围非法 
R378,2101,12,1,年份取值范围非法 
R379,2101,12,15,年份取值范围非法 
R380,2101,12,28,年份取值范围非法 
R381,2101,12,29,年份取值范围非法 
R382,2101,12,30,年份取值范围非法 
R383,2101,12,31,年份取值范围非法 
R384,2101,12,32,年份取值范围非法 日期取值范围非法 
R385,2101,13,0,年份取值范围非法 月份取值范围非法 日期取值范围非法 
R386,2101,13,1,年份取值范围非法 月份取值范围非法 
R387,2101,13,15,年份取值范围非法 月份取值范围非法 
R388,2101,13,28,年份取值范围非法 月份取值范围非法 
R389,2101,13,29,年份取值范围非法 月份取值范围非法 
R390,2101,13,30,年份取值范围非法 月份取值范围非法 
R391,2101,13,31,年份取值范围非法 月份取值范围非法 
R392,2101,13,32,年份取值范围非法 月份取值范围非法 日期取值范围非法 
